Entity1,Relation,Entity2
RISAT-2B,orbit_type,LEO (Low Earth Orbit)
INSAT-1A,launched_by,Delta
EOS-02,launched_by,SSLV-D1/EOS-02 Mission
GSAT-31,used_for,Communication
INSAT-4CR,launch_on,2007-09-02
EOS-02,used_for,Earth Observation
PSLV-C26/IRNSS-1C,rocket_family,PSLV
INSAT-2E,launch_on,1999-04-03
Ariane-44L H10+,rocket_family,Ariane
PSLV-C9 / CARTOSAT  2A,rocket_family,PSLV
NISAR(NASA-ISRO),used_for,Earth Observation(Radar)
PSLV-C41/IRNSS-1I,rocket_family,PSLV
GSAT-19,launch_on,2017-06-05
PSLV-C3 / TES,rocket_family,PSLV
NVS-02(NavIC Series),used_for,Navigation
GSAT-7,orbit_type,GSO (Geosynchronous Orbit)
RISAT-2B,used_for,"Disaster Management System, Earth Observation"
IRNSS-1A,orbit_type,GSO (Geosynchronous Orbit)
Delta 4925,rocket_family,Delta 4925
GSAT-31,launched_by,Ariane-5 VA-247
IRNSS-1G,launched_by,PSLV-C33/IRNSS-1G
INSAT-1C,launched_by,Ariane-3
SROSS-2,orbit_type,Unknown
"SPADEX, POEM-4",launch_on,2025-12-30
IRNSS-1A,used_for,Navigation
PSLV-C2/IRS-P4,rocket_family,PSLV
IRNSS-1H,launched_by,PSLV-C39/IRNSS-1H Mission
Rohini Technology Payload (RTP),launched_by,SLV-3E1
GSAT-8,launch_on,2011-05-21
GSAT-6A,launch_on,2018-03-29
IRNSS-1B,launched_by,PSLV-C24/IRNSS-1B
PSLV-C14 / OCEANSAT-2,rocket_family,PSLV
GSAT-4,launched_by,GSLV-D3 / GSAT-4
INS-2B,used_for,Earth Observation
INSAT-3D,launch_on,2013-07-26
IRS-P2,orbit_type,SSPO (Sun Synchronous Polar Orbit)
EOS-06,used_for,Earth Observation
IRNSS-1D,launch_on,2015-03-28
IRNSS-1B,launch_on,2014-04-04
INSAT-2D,launch_on,1997-06-04
SARAL,launched_by,PSLV-C20/SARAL
IRS-1E,orbit_type,LEO (Low Earth Orbit)
GSAT-14,orbit_type,GSO (Geosynchronous Orbit)
IRNSS-1F,launched_by,PSLV-C32/IRNSS-1F
YOUTHSAT,orbit_type,SSPO (Sun Synchronous Polar Orbit)
CARTOSAT-2B,orbit_type,SSPO (Sun Synchronous Polar Orbit)
Rohini Satellite RS-D2,launched_by,SLV-3
INSAT-3B,used_for,Communication
RESOURCESAT-2,used_for,Earth Observation
Oceansat-2,launched_by,PSLV-C14 / OCEANSAT-2
RISAT-2BR1,used_for,"Disaster Management System, Earth Observation"
IRS-1B,launched_by,Vostok
Rohini Satellite RS-1,launched_by,SLV-3E2
GSAT-4,orbit_type,GSO (Geosynchronous Orbit)
INSAT-2C,used_for,Communication
EOS-04,launch_on,2022-02-14
INSAT-3DR,used_for,"Climate & Environment, Disaster Management System"
GSAT-14,launch_on,2014-01-05
RESOURCESAT-2,orbit_type,SSPO (Sun Synchronous Polar Orbit)
GSAT-15,orbit_type,GEO
Microsat,launch_on,2018-01-12
PSLV-D2,rocket_family,PSLV
INSAT-1B,orbit_type,GSO (Geosynchronous Orbit)
CARTOSAT-2B,launched_by,PSLV-C15/CARTOSAT-2B
EMISAT,launched_by,PSLV-C45/EMISAT MISSION
GSAT-6,used_for,Communication
INSAT-2A,launch_on,1992-07-10
GSAT-9,used_for,Communication
EOS-02,launch_on,2022-08-07
NVS-02(NavIC Series),orbit_type,GTO (Geosynchronous Transfer Orbit)
Microsat-R,launch_on,2019-01-24
GSAT-4,used_for,Communication
GSAT-16,launched_by,Ariane-5 VA-221
